1 	 0.87326245481	 1 	 1 	 0 	 0 	 0 	 0 	 0
2 	 0.0292350075435	 1 	 0 	 1 	 0 	 0 	 0 	 0
1 	 -8.12083542876	 1 	 1 	 0 	 0 	 0 	 0 	 0
2 	 0.87326245481	 1 	 0 	 1 	 0 	 0 	 0 	 0
1 	 0.675332808121	 1 	 0 	 0 	 1 	 0 	 0 	 0
2 	 0.0088501574083	 1 	 0 	 0 	 0 	 1 	 0 	 0
1 	 -61.4594264465	 1 	 0 	 0 	 1 	 0 	 0 	 0
2 	 0.675332808121	 1 	 0 	 0 	 0 	 1 	 0 	 0
1 	 0.884880934266	 1 	 0 	 0 	 0 	 0 	 1 	 0
2 	 13.319441541	 1 	 0 	 0 	 0 	 0 	 0 	 1
1 	 -0.00864293486931	 1 	 0 	 0 	 0 	 0 	 1 	 0
2 	 1	 1 	 0 	 0 	 0 	 0 	 0 	 1
